Benthic group,Fernando de Noronha (FN),Atol das Rocas (RA),São Pedro e São Paulo (SP),Trindade (TR)
EAM,26.7,31.6,23.9,16.1
MAL,16.5,17.2,15.4,21.2
CCA,3.9,5.5,14.7,14.9
ACA,10.4,6.5,5,9.3
SCL,6.8,4,1.1,2.9
ABI,4.1,19.9,0,20.5
INV,1.3,1.5,7,2.2
ZOA,16.3,6.5,21.9,4.3
CYA,10.6,4.3,3.7,4.8
SUS,3.4,3,7.3,3.8
