group,stat,p.value,island
ABI,0.8997098510099752,0.001,s.RA
SUS,0.8037128061767447,0.001,s.SP
SCL,0.7744006795380125,0.001,s.FN
CCA,0.7719904647759805,0.001,s.SP
EAM,0.7533470292276223,0.001,s.FN
INV,0.7127887817915627,0.003,s.SP
ZOA,0.69431175217009,0.004,s.SP
ACA,0.6317956643155258,0.007,s.FN
