Variable,DF,SumOfSqs,F,P_sequential
wave,1,3.229799416546075,5.744107690860993,0.005
SST,1,0.6912405146774159,1.2293518712810176,0.276
PAR,1,0.7582101651413149,1.3484555166384526,0.239
POC,1,6.607724837433768,11.751653326628514,0.001
Residual,21,11.807889301132002,NA,NA
