"Island","Group","Span","Tau","P_value","Significance","Slope","CI_lower","CI_upper","CI","Trend_percent","Range"
"noronha","EAM",0.75,-0.867,0.0242,"*",-5.046,-14.003,-0.276,"(-14.00, -0.28)",-14.8,34.12
"noronha","MAL",0.75,-0.2,0.7071,"ns",-0.565,-6.193,3.441,"(-6.19, 3.44)",-3.9,14.64
"noronha","ACA",0.75,0.067,1,"ns",0.248,-4.504,4.144,"(-4.50, 4.14)",1.6,15.74
"noronha","SCL",0.75,0.867,0.0242,"*",1.653,0.463,2.446,"(0.46, 2.45)",18.6,8.88
