"Island","Group","Span","Tau","P_value","Significance","Slope","CI_lower","CI_upper","CI","Trend_percent","Range"
"rocas","EAM",0.75,0.333,0.4524,"ns",2.626,-2.412,10.114,"(-2.41, 10.11)",10.7,24.61
"rocas","MAL",0.75,-0.333,0.4524,"ns",-2.715,-7.979,0.804,"(-7.98, 0.80)",-11.7,23.12
"rocas","CCA",0.75,0.467,0.2597,"ns",0.075,-0.088,1.042,"(-0.09, 1.04)",2.1,3.62
"rocas","ZOA",0.75,-0.6,0.1329,"ns",-1.039,-2.789,0.187,"(-2.79, 0.19)",-16.9,6.14
